fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,label
-0.05986722687722329,0.9093611334151923,-1.3692221922258418,-0.47446065494292744,-0.23082941173034616,-0.4580499071888861,-0.3734121063167812,0.5743184319809053,1.257810048933994,-0.578516518846908,9.4,5,0
-0.046999336999493296,1.8921938286030033,-1.3692221922258418,0.058565712186724135,0.22338068992073914,0.9171109620757607,0.6228270645010253,0.05182425124071553,-0.708373149963224,0.1385510447668798,9.8,5,0
-0.046999336999493296,1.2369720318111295,-1.1654867237983642,-0.16987415944026954,0.09950520765226126,-0.0651468016847013,0.2303692093303743,0.15632308738874187,-0.32782156307989346,-0.04071584613656733,9.8,5,0
0.06237772696121173,-1.3839151553563658,1.4830743657588439,-0.47446065494292744,-0.25147532544175916,0.1313047510673911,0.41150360402452096,0.6788172681289316,-0.9620742078854462,-0.45900525824461064,9.8,6,1
-0.05986722687722329,0.6909538678179015,-1.3692221922258418,-0.5506072788185918,-0.25147532544175916,-0.2615983544367937,-0.19227771162263452,0.5743184319809053,1.257810048933994,-0.578516518846908,9.4,5,0
-0.04378236453006078,0.36334296942196426,-1.0636189895846255,-0.7029005265699207,-0.37535080771023677,-0.0651468016847013,0.38131453824216316,-0.15717342105539517,-0.07412050515767123,-1.1760728218583982,9.4,5,0
-0.06308419934665581,0.6363520514185786,-1.3692221922258418,-1.007487022072579,-0.45793446255588866,-0.0651468016847013,-0.7658699614874322,-1.0976629463876904,0.4967068751673302,-1.1163171915572494,10.0,7,1
-0.046999336999493296,0.25413933662331856,-1.267354458012103,-0.3983140310672629,-0.2927671528645851,-0.6545014599409785,-0.8564371588345056,0.05182425124071553,0.30643108172566214,-0.5187608885457596,9.5,7,1
-0.0823860341632508,0.25413933662331856,-0.9617512553708867,-0.5506072788185918,0.20273477620932417,-0.0651468016847013,0.5624489329363098,-0.41842051142546105,-0.20097103411878234,-0.6980277794492061,9.2,5,0
-0.11777273132700833,0.4452456940209486,-1.3692221922258418,-0.7029005265699207,0.03756746651802231,0.033078974691344895,0.38131453824216316,-1.2544112006097878,1.7017869002978845,-0.8175390400515042,9.9,5,0
-0.046999336999493296,0.41794478582128713,0.10785995387337019,-0.7029005265699207,0.5537153093033466,-0.6545014599409785,-0.52435743522857,0.3653207596847946,-0.32782156307989346,5.397046511267991,9.1,5,0
-0.024480529713465784,-1.3839151553563658,1.4830743657588439,-0.5506072788185918,0.09950520765226126,1.8993687258362228,1.7096334326659053,0.10407366931472871,-0.07412050515767123,0.5568404568749225,10.5,7,1
-0.04378236453006078,-1.1655078897590745,1.2284050302244967,-0.5506072788185918,5.24033772179409,0.1313047510673911,0.29074734089508986,0.10407366931472871,-1.723177381652113,2.5287762568128396,9.2,6,1
-0.05343328193835831,-0.7832951749638147,0.20972768808710904,-0.16987415944026954,-0.10695392946187028,0.7206594093236683,0.7435833276304564,0.783316104276958,1.3212353134145511,-0.04071584613656733,9.7,5,0
-0.04378236453006078,-0.5648879093665236,-0.2996109829815848,-0.7029005265699207,0.3885479996120427,-0.5562756835649323,-0.2828449089697079,-0.05267458490731082,-0.8986489434048921,1.5129305416933065,9.5,5,0
